ORIGIN_AIRPORT,flights,avg_arrival_delay,delayed_rate,destinations,criticality_score
IDA,2225,-2.6993258426966293,0.10337078651685393,3,0.029928918817807706
LAW,1236,7.240291262135922,0.16990291262135923,1,0.029679511160992645
CPR,1744,-4.651376146788991,0.11353211009174312,2,0.029384756657483933
LIH,10487,-1.0093449032135025,0.09096977209878898,11,0.0289766350372411
12339,2361,-2.417619652689538,0.1012282930961457,25,0.0286025235520185
SIT,1322,1.947806354009077,0.1422087745839637,3,0.02608010520468433
10397,32509,-4.223261250730567,0.08640684118244178,148,0.026017753290480564
MSO,2053,-1.3185582075012177,0.10326351680467609,7,0.025394234148442902
12451,1701,-1.1804820693709583,0.10993533215755438,20,0.023886451495879105
15016,4295,-3.2956926658905705,0.09266589057043073,43,0.022537382806743077
14635,1756,-2.882118451025057,0.10478359908883828,26,0.02153975217948282
13342,2631,-2.8711516533637402,0.09426073736221968,24,0.020462764570508676
YUM,1854,2.1844660194174756,0.10248112189859762,1,0.019725878311736895
SGU,1770,1.8734463276836157,0.10338983050847457,2,0.019657858041696424
SPS,1170,6.418803418803419,0.1717948717948718,1,0.019385776961534536
MLB,1322,2.1717095310136156,0.12632375189107414,1,0.01828044757337687
13198,3536,-3.150735294117647,0.08710407239819004,34,0.014170889591765013
11066,2178,-2.1887052341597797,0.09274563820018365,24,0.012923851307689692
13851,1627,-1.645359557467732,0.10079901659496004,19,0.011937557392102848
OAJ,1118,9.367620751341681,0.1744186046511628,1,0.01162012946524731
ITO,5708,0.34320252277505253,0.08163980378416258,3,0.01115532428663742
DAB,1486,-0.5471063257065949,0.10430686406460296,2,0.01110997743994377
10994,1204,1.7242524916943522,0.1303986710963455,15,0.010225713929417634
14869,8738,-3.404211490043488,0.07747768368047608,77,0.009024022492035958
15376,1299,-1.5712086220169361,0.10700538876058506,14,0.008831298393587957
10792,1585,-1.3072555205047318,0.09526813880126182,16,0.008570554025099479
14057,4539,-4.717338620841595,0.07975324961445253,42,0.008445850196691949
14683,2594,-3.448727833461835,0.08326908249807248,29,0.008434513485018535
GTF,1944,-0.9825102880658436,0.08796296296296297,3,0.007981045018082054
13871,1492,-2.3351206434316354,0.09584450402144772,16,0.007232822047636862
14570,1137,1.4001759014951627,0.13280562884784522,11,0.00591776349352107
CSG,1060,4.381132075471698,0.1650943396226415,1,0.005713702683399653
10299,1225,-1.7436734693877551,0.10530612244897959,19,0.005441621603237765
13244,1510,-3.0450331125827814,0.09337748344370861,18,0.005441621603237764
13830,1814,-1.3351708930540243,0.08324145534729879,16,0.004364633994263623
10599,1139,1.5232660228270412,0.11237928007023705,15,0.004047206067408087
10713,1156,2.3019031141868513,0.10813148788927336,13,0.003990522509041027
15370,1309,-2.786096256684492,0.09396485867074103,15,0.0038544819689600835
HLN,1419,-2.3143058491895703,0.0916138125440451,3,0.0038318085456132598
12173,3761,-1.9088008508375431,0.06833289018877958,27,0.0029928918817807705
10529,1705,-6.116715542521995,0.07038123167155426,23,0.0014964459408903855
11540,1036,1.4131274131274132,0.10907335907335908,12,0.001065650897300729
14307,1092,-2.8534798534798536,0.09432234432234432,12,0.0009069369338729607
14122,2122,-4.899151743638077,0.06644674835061264,26,0.0008275799521590767
12992,1035,-1.1333333333333333,0.10434782608695652,11,0.00040812162024283236
