ROUTE,flights,avg_arrival_delay,delayed_rate,avg_distance
DEN-TPA,1576,8.810279187817258,0.22842639593908629,1506.0
DFW-SGF,2141,9.31013545072396,0.2283979448855675,364.0
AMA-DFW,1117,8.550581915846015,0.22829006266786034,312.0
BWI-MHT,2160,9.131481481481481,0.22824074074074074,377.0
DEN-BOS,2366,6.398562975486052,0.22823330515638207,1754.0
FSD-DEN,1302,10.469278033794163,0.22811059907834103,483.0
BWI-BOS,4292,9.87371854613234,0.22809878844361603,369.0
MSY-JFK,1088,6.342830882352941,0.22794117647058823,1182.0
SGF-ORD,1948,12.498459958932239,0.22792607802874743,438.0
BWI-LAS,1698,5.156065959952886,0.22791519434628976,2106.0
ORD-STL,2492,8.345505617977528,0.22752808988764045,258.0
JFK-RSW,1197,6.065162907268171,0.227234753550543,1074.0
RSW-ORD,1796,7.672048997772828,0.22717149220489977,1120.0
PHL-IAH,2139,5.525011687704535,0.2267414679756896,1325.0
LAX-SJC,6196,8.673983214977405,0.22659780503550678,308.0
DEN-MIA,1329,7.7125658389766745,0.22648607975921745,1709.0
DEN-AUS,2924,9.475034199726402,0.22640218878248974,775.0
ORD-OMA,1967,8.040671072699542,0.22623284189120488,416.0
LAX-HNL,5199,9.842469705712636,0.22619734564339297,2556.0
MIA-LAX,3004,4.856191744340879,0.22603195739014648,2342.0
SAN-SFO,6765,9.195713229859571,0.22601626016260162,447.0
BWI-FLL,3914,7.857179356157384,0.22585590189064894,925.0
MKE-ORD,4584,10.56631762652705,0.22578534031413613,67.0
PHX-ELP,1440,8.279861111111112,0.22569444444444445,347.0
DFW-LGA,4328,5.338724584103512,0.2255083179297597,1389.0
PHL-MCO,4794,7.257822277847309,0.22528160200250313,861.0
DTW-EWR,2082,8.088856868395773,0.22526416906820365,488.0
EWR-PHX,2060,2.4927184466019416,0.22524271844660193,2133.0
MCO-PHL,4782,10.089502300292764,0.22521957340025095,861.0
CLT-MCO,2940,8.8578231292517,0.22517006802721087,468.0
DTW-IAH,1972,5.602434077079107,0.22515212981744423,1075.0
PHL-ORD,4620,6.821861471861472,0.22510822510822512,678.0
DEN-HOU,1746,6.816151202749141,0.22508591065292097,883.0
ONT-SFO,2124,8.851694915254237,0.22504708097928436,363.0
JFK-ROC,1071,7.147525676937442,0.2250233426704015,264.0
DFW-OKC,2622,8.912280701754385,0.2250190694126621,175.0
BWI-MCO,3047,7.663931736133902,0.22481128979323925,787.0
IAH-MSY,2723,10.109805361733383,0.2247521116415718,305.0
MDW-MSP,2906,8.387474191328286,0.2247075017205781,349.0
FSD-ORD,1936,10.50206611570248,0.2246900826446281,462.0
ORD-MDT,1549,8.53582956746288,0.22466107165913493,594.0
DEN-BIL,1095,7.101369863013699,0.22465753424657534,455.0
RNO-SFO,1572,8.632951653944021,0.22455470737913485,192.0
DFW-ACT,1541,10.63724853990915,0.2245295262816353,89.0
LAX-DAL,2450,7.812244897959184,0.22448979591836735,1246.0
ORD-DTW,4149,9.927452398168233,0.22439141961918535,235.0
DEN-GEG,1326,5.9057315233785825,0.2239819004524887,836.0
ACV-SFO,1268,7.841482649842272,0.22397476340694006,250.0
DFW-LAX,6540,6.898776758409786,0.22370030581039754,1235.0
DEN-TUS,1838,7.983133841131665,0.2236126224156692,639.0
HOU-BNA,1212,8.988448844884488,0.2235973597359736,670.0
ORD-PDX,2107,6.668723303274798,0.2235405790223066,1739.0
DFW-FLL,2654,8.193669932177844,0.22305953278070836,1119.0
CVG-ORD,3901,10.175083311971289,0.22301973852858242,264.8387592924891
ATL-ORD,6373,8.448140593127256,0.22281500078455987,606.0
ATL-BTR,2483,9.370519532823197,0.22271445831655257,448.0
LGA-MKE,1154,6.546793760831889,0.22270363951473138,738.0
ORD-CVG,3829,7.829981718464351,0.22251240532776181,264.8380778271089
BOS-JFK,4893,10.030860412834661,0.22235847128550992,187.0
DEN-FAR,1215,8.232098765432099,0.2222222222222222,627.0
PBI-EWR,2507,9.492620662145992,0.2221779018747507,1023.0
RIC-ORD,1972,8.369168356997971,0.22210953346855983,642.0
PHX-SAT,1541,7.829980532121999,0.22193380921479558,843.0
SFO-MFR,1262,7.396196513470682,0.2218700475435816,329.0
BOS-MCO,2806,6.466143977191732,0.22166785459729152,1121.0
PHX-HOU,1381,7.752353367125272,0.22157856625633598,1020.0
IAD-ORD,1702,8.41421856639248,0.22150411280846063,588.8666274970623
SEA-SFO,6791,7.468708584891768,0.2214695921072007,679.0
TYS-ORD,2014,10.219960278053625,0.2214498510427011,475.0
LAX-RNO,1893,8.582144743792922,0.2213417855256207,391.0
BWI-DAL,1071,3.569561157796452,0.22128851540616246,1209.0
JFK-SJU,4388,4.967866909753874,0.22128532360984504,1598.0
ORD-BUF,1930,7.3196891191709845,0.22124352331606217,473.2139896373057
EWR-SFO,4945,4.295449949443883,0.22123356926188067,2565.0
ORD-FSD,1962,7.752293577981652,0.22120285423037717,462.0
ORD-TUL,2000,6.4365,0.221,585.0
ORD-ATL,6272,9.78140943877551,0.22098214285714285,606.0
STL-HOU,1204,7.510797342192691,0.22093023255813954,687.0
IAH-FLL,1843,9.273467173087358,0.22083559413998916,965.7167661421595
SAT-LAX,1542,5.849546044098573,0.2204928664072633,1211.0
CLT-DEN,1883,6.496548061603824,0.22039298990971853,1337.0
EWR-DEN,2592,3.6805555555555554,0.22029320987654322,1605.0
MCO-CLE,1374,7.0072780203784575,0.2197962154294032,895.0
LAS-OAK,3426,8.380910683012258,0.21978984238178634,407.0
PHX-AUS,1571,7.558879694462126,0.2196053469127944,872.0
ORD-PIT,1854,8.03883495145631,0.21952535059331177,413.0
PIT-ORD,1709,6.482153306026916,0.21942656524283208,413.0
MCO-EWR,4688,9.311220136518772,0.21906996587030717,937.0
ICT-ORD,2004,11.630239520958083,0.21906187624750498,588.0
EWR-BOS,4322,6.567792688570107,0.21888014807959277,200.0
MIA-ORD,4085,4.856058751529988,0.21884944920440635,1197.0
BWI-CMH,1385,7.954512635379062,0.2187725631768953,337.0
LAX-LAS,9522,8.655534551564797,0.21875656374711194,236.0
LAS-SAT,1271,6.331235247836349,0.2187254130605822,1069.0
DAY-ORD,2543,7.974439638222572,0.21863940228077075,240.0
MIA-RDU,1011,6.086053412462908,0.218595450049456,700.0
IAH-SAN,2004,5.770459081836328,0.218562874251497,1303.0
OMA-ORD,1922,8.766389177939645,0.21852237252861603,416.0
PHL-BOS,5155,7.750533462657614,0.21842870999030067,280.0
IAH-LAS,2752,6.164607558139535,0.21838662790697674,1222.0
DAL-SAT,2995,9.299165275459098,0.21836393989983305,248.0
DSM-ORD,2890,9.303806228373702,0.21833910034602075,299.0
PHL-LAS,2114,3.739829706717124,0.21807000946073793,2176.0
IAH-BOS,1642,6.52557856272838,0.21802679658952498,1597.0
LAX-SAT,1533,6.558382257012394,0.21787345075016307,1211.0
DSM-DEN,1139,8.698858647936786,0.2177348551360843,589.0
DFW-BWI,1737,7.373632700057571,0.21761658031088082,1217.0
LAS-DAL,1420,5.977464788732394,0.2176056338028169,1067.0
BOS-PHX,1389,2.311735061195104,0.2174226061915047,2300.0
ORD-LNK,1118,9.473166368515205,0.21735241502683364,466.0
DFW-ORD,7657,6.971398720125375,0.21705628836358887,802.0
MDW-STL,2093,7.984233158146202,0.21691352126134736,251.0
EWR-BNA,1842,5.937024972855592,0.21661237785016288,748.0
DFW-MCO,3751,8.701946147693949,0.21647560650493203,985.0
ORD-SYR,1581,7.364958886780519,0.21631878557874762,607.0
MDW-BWI,1905,8.043044619422572,0.2162729658792651,611.0
SAN-LAS,4051,7.400394964206368,0.2162429029869168,258.0
DAL-MAF,1476,8.575880758807589,0.21612466124661248,319.0
STL-EWR,1777,9.89251547552054,0.2160945413618458,872.0
SBP-LAX,1347,7.583518930957684,0.21603563474387527,156.0
BWI-TPA,2139,6.276764843384759,0.21598877980364656,842.0
ORD-FAR,2028,8.430473372781066,0.21597633136094674,557.0
IAD-LAS,1167,5.73521850899743,0.2159383033419023,2065.0
SFO-SMF,1543,8.102397926117952,0.21581335061568374,86.0
MDW-CMH,1776,7.116554054054054,0.21565315315315314,283.0
TPA-EWR,2065,8.505084745762712,0.21549636803874092,997.0
PHX-JFK,2280,5.3162280701754385,0.21535087719298246,2153.0
JFK-PHX,2276,1.9666080843585236,0.21528998242530756,2153.0
PHL-LAX,1858,1.232508073196986,0.21528525296017223,2402.0
MKE-EWR,1022,7.271037181996086,0.21526418786692758,725.0
SDF-ORD,1232,8.879058441558442,0.2150974025974026,286.8400974025974
RDU-ORD,1907,9.123230204509701,0.2149973780807551,646.0
DFW-TYR,1535,9.88729641693811,0.21498371335504887,102.0
